num_agents,scenario,algorithm,soc,sod,solved
200,6,MAPF-LNS2,31586,301,1
200,6,MAPF-LNS,0,0,0
200,6,BALANCE-UCB1,32127,842,0
200,6,BALANCE-Thompson,32142,857,0
200,7,DyMAB-aUCB,31109,505,1
200,7,DyMAB-eGreedy,31749,1145,1
200,7,MAPF-LNS2,30862,258,1
200,7,MAPF-LNS,0,0,0
200,7,BALANCE-UCB1,31709,1105,0
200,7,BALANCE-Thompson,31508,904,0
200,8,DyMAB-aUCB,32450,136,1
200,8,DyMAB-eGreedy,32697,383,1
200,8,MAPF-LNS2,32488,174,1
200,8,MAPF-LNS,0,0,0
200,8,BALANCE-UCB1,33057,743,0
200,8,BALANCE-Thompson,33077,763,0
200,9,DyMAB-aUCB,29626,173,1
200,9,DyMAB-eGreedy,30011,558,1
200,9,MAPF-LNS2,29749,296,1
200,9,MAPF-LNS,0,0,0
200,9,BALANCE-UCB1,30011,558,0
200,9,BALANCE-Thompson,30082,629,0
400,10,DyMAB-aUCB,0,0,0
400,10,DyMAB-eGreedy,0,0,0
400,10,MAPF-LNS2,63420,2388,1
400,10,MAPF-LNS,0,0,0
400,10,BALANCE-UCB1,67285,6253,0
400,10,BALANCE-Thompson,66573,5541,0
400,11,DyMAB-aUCB,65901,2161,1
400,11,DyMAB-eGreedy,68870,5130,1
400,11,MAPF-LNS2,65347,1607,1
400,11,MAPF-LNS,0,0,0
400,11,BALANCE-UCB1,68239,4499,0
400,11,BALANCE-Thompson,69221,5481,0
400,12,DyMAB-aUCB,61120,1047,1
400,12,DyMAB-eGreedy,64468,4395,1
400,12,MAPF-LNS2,60752,679,1
400,12,MAPF-LNS,0,0,0
400,12,BALANCE-UCB1,64704,4631,0
400,12,BALANCE-Thompson,64453,4380,0
400,13,DyMAB-aUCB,63121,2399,1
400,13,DyMAB-eGreedy,66269,5547,1
400,13,MAPF-LNS2,62685,1963,1
400,13,MAPF-LNS,0,0,0
400,13,BALANCE-UCB1,66020,5298,0
400,13,BALANCE-Thompson,66172,5450,0
400,14,DyMAB-aUCB,61169,1412,1
400,14,DyMAB-eGreedy,65073,5316,1
400,14,MAPF-LNS2,60976,1219,1
400,14,MAPF-LNS,0,0,0
400,14,BALANCE-UCB1,66230,6473,0
400,14,BALANCE-Thompson,66321,6564,0
400,15,DyMAB-aUCB,64356,2108,1
400,15,DyMAB-eGreedy,67514,5266,1
400,15,MAPF-LNS2,64136,1888,1
400,15,MAPF-LNS,0,0,0
400,15,BALANCE-UCB1,67937,5689,1
400,15,BALANCE-Thompson,67033,4785,0
400,16,DyMAB-aUCB,63619,1791,1
400,16,DyMAB-eGreedy,67167,5339,1
400,16,MAPF-LNS2,63080,1252,1
400,16,MAPF-LNS,0,0,0
400,16,BALANCE-UCB1,67913,6085,0
400,16,BALANCE-Thompson,67851,6023,0
400,17,DyMAB-aUCB,63989,2169,1
400,17,DyMAB-eGreedy,66705,4885,1
400,17,MAPF-LNS2,63461,1641,1
400,17,MAPF-LNS,0,0,0
400,17,BALANCE-UCB1,67571,5751,0
400,17,BALANCE-Thompson,67816,5996,0
400,18,DyMAB-aUCB,63204,1678,1
400,18,DyMAB-eGreedy,66958,5432,1
400,18,MAPF-LNS2,62466,940,1
400,18,MAPF-LNS,0,0,0
400,18,BALANCE-UCB1,69161,7635,0
400,18,BALANCE-Thompson,66718,5192,0
400,19,DyMAB-aUCB,60047,1175,1
400,19,DyMAB-eGreedy,63890,5018,1
400,19,MAPF-LNS2,60021,1149,1
400,19,MAPF-LNS,0,0,0
400,19,BALANCE-UCB1,65903,7031,0
400,19,BALANCE-Thompson,65372,6500,0
400,1,DyMAB-aUCB,64842,2762,1
400,1,DyMAB-eGreedy,68770,6690,1
400,1,MAPF-LNS2,63963,1883,1
400,1,MAPF-LNS,0,0,0
400,1,BALANCE-UCB1,70401,8321,1
400,1,BALANCE-Thompson,69275,7195,0
400,20,DyMAB-aUCB,63527,1534,1
400,20,DyMAB-eGreedy,66105,4112,1
400,20,MAPF-LNS2,63103,1110,1
400,20,MAPF-LNS,0,0,0
400,20,BALANCE-UCB1,67652,5659,0
