runtime,solution cost,initial solution cost,min f value,root g value,iterations,group size,runtime of initial solution,area under curve,preprocessing runtime,solver name,instance name
120.002,183410,184336,182786,182764,16357,4.92767,5.64731,81968.4,6.02156,LNS(EECBS;PP),Berlin_1_256.map-scen-random/Berlin_1_256-random-5.scen
120.001,17225,17234,17220,17220,86098,4.36582,0.105769,599.663,0.636851,LNS(EECBS;PP),Berlin_1_256.map-scen-random/Berlin_1_256-random-6.scen
120,35529,35549,35508,35508,51203,4.53308,0.257605,2530.55,1.20434,LNS(EECBS;PP),Berlin_1_256.map-scen-random/Berlin_1_256-random-6.scen
120.004,90268,90470,90041,90029,19401,4.84892,1.96209,29085.1,3.01761,LNS(EECBS;PP),Berlin_1_256.map-scen-random/Berlin_1_256-random-6.scen
120,145534,146068,144956,144928,12884,4.85997,4.35598,74075.6,4.79857,LNS(EECBS;PP),Berlin_1_256.map-scen-random/Berlin_1_256-random-6.scen
120,182274,183143,181458,181428,12078,4.8912,6.40499,104033,6.02183,LNS(EECBS;PP),Berlin_1_256.map-scen-random/Berlin_1_256-random-6.scen
120,15210,15216,15204,15202,79817,4.25601,0.0848655,989.035,0.603191,LNS(EECBS;PP),Berlin_1_256.map-scen-random/Berlin_1_256-random-7.scen
120.009,33166,33187,33138,33136,42193,4.42636,0.232904,3636.11,1.19796,LNS(EECBS;PP),Berlin_1_256.map-scen-random/Berlin_1_256-random-7.scen
120,85338,85494,85207,85199,34302,4.79683,1.22148,17659.6,2.99822,LNS(EECBS;PP),Berlin_1_256.map-scen-random/Berlin_1_256-random-7.scen
120.001,139043,139440,138662,138642,21647,4.8839,3.29914,49441.9,4.817,LNS(EECBS;PP),Berlin_1_256.map-scen-random/Berlin_1_256-random-7.scen
120.005,177139,177777,176530,176506,16187,4.89448,4.92311,78773,6.00915,LNS(EECBS;PP),Berlin_1_256.map-scen-random/Berlin_1_256-random-7.scen
120.003,20268,20279,20262,20260,28852,4.43163,0.125203,960.746,0.603423,LNS(EECBS;PP),Berlin_1_256.map-scen-random/Berlin_1_256-random-8.scen
120,38506,38539,38491,38489,41632,4.43088,0.391849,2036.81,1.24321,LNS(EECBS;PP),Berlin_1_256.map-scen-random/Berlin_1_256-random-8.scen
120.004,93033,93193,92915,92911,30202,4.70114,1.37812,14796.4,3.04726,LNS(EECBS;PP),Berlin_1_256.map-scen-random/Berlin_1_256-random-8.scen
120.003,148088,148601,147736,147724,21228,4.83257,3.68761,45942.1,4.82527,LNS(EECBS;PP),Berlin_1_256.map-scen-random/Berlin_1_256-random-8.scen
120.006,182725,183553,182121,182107,16591,4.91893,6.00714,76625.9,6.01536,LNS(EECBS;PP),Berlin_1_256.map-scen-random/Berlin_1_256-random-8.scen
120,19615,19616,19613,19613,62934,4.90085,0.116413,239.779,0.638843,LNS(EECBS;PP),Berlin_1_256.map-scen-random/Berlin_1_256-random-9.scen
120,38030,38057,38017,38017,58654,4.54527,0.28377,1589.44,1.20052,LNS(EECBS;PP),Berlin_1_256.map-scen-random/Berlin_1_256-random-9.scen
120.011,88989,89136,88894,88892,28803,4.61541,1.39363,12072.1,3.00852,LNS(EECBS;PP),Berlin_1_256.map-scen-random/Berlin_1_256-random-9.scen
120.01,142138,142513,141828,141820,21870,4.83676,3.27263,39206.1,4.82215,LNS(EECBS;PP),Berlin_1_256.map-scen-random/Berlin_1_256-random-9.scen
120.019,179407,179729,178537,178527,389,4.99485,117.636,2313.77,5.99953,LNS(EECBS;PP),Berlin_1_256.map-scen-random/Berlin_1_256-random-9.scen
120.002,18937,18941,18933,18931,46158,4.57042,0.0808051,719.539,0.642893,LNS(EECBS;PP),Berlin_1_256.map-scen-random/Berlin_1_256-random-10.scen
120,36945,36973,36928,36926,52929,4.54342,0.234779,2312.62,1.20165,LNS(EECBS;PP),Berlin_1_256.map-scen-random/Berlin_1_256-random-10.scen
120,93519,93713,93384,93380,28093,4.62356,1.56687,17242.8,2.99706,LNS(EECBS;PP),Berlin_1_256.map-scen-random/Berlin_1_256-random-10.scen
120,145677,146130,145271,145259,20086,4.81698,3.9229,50994.3,4.77912,LNS(EECBS;PP),Berlin_1_256.map-scen-random/Berlin_1_256-random-10.scen
120,181083,181832,180463,180445,18834,4.86853,5.5448,78634.5,6.06646,LNS(EECBS;PP),Berlin_1_256.map-scen-random/Berlin_1_256-random-10.scen
120,17208,17219,17201,17201,66326,4.23457,0.0693434,840.573,0.60251,LNS(EECBS;PP),Berlin_1_256.map-scen-random/Berlin_1_256-random-11.scen
120,35337,35364,35317,35317,56683,4.56177,0.211558,2401.03,1.19979,LNS(EECBS;PP),Berlin_1_256.map-scen-random/Berlin_1_256-random-11.scen
120.03,91053,91189,90914,90908,22114,4.71451,1.40016,18706.5,2.99637,LNS(EECBS;PP),Berlin_1_256.map-scen-random/Berlin_1_256-random-11.scen
120,145598,146000,145211,145195,17352,4.86283,3.90264,50285.9,4.80774,LNS(EECBS;PP),Berlin_1_256.map-scen-random/Berlin_1_256-random-11.scen
120.002,183380,184167,182772,182752,13689,4.87127,5.74499,77717.2,6.00513,LNS(EECBS;PP),Berlin_1_256.map-scen-random/Berlin_1_256-random-11.scen
120,19013,19018,19010,19010,60249,4.25329,0.0829393,359.982,0.633034,LNS(EECBS;PP),Berlin_1_256.map-scen-random/Berlin_1_256-random-12.scen
120.001,36300,36321,36286,36286,66627,4.23901,0.299122,1693.81,1.20634,LNS(EECBS;PP),Berlin_1_256.map-scen-random/Berlin_1_256-random-12.scen
120,91412,91580,91248,91236,28433,4.83279,1.65395,22117.5,3.02109,LNS(EECBS;PP),Berlin_1_256.map-scen-random/Berlin_1_256-random-12.scen
120,146596,147117,146219,146207,23006,4.84712,3.6744,48314,4.786,LNS(EECBS;PP),Berlin_1_256.map-scen-random/Berlin_1_256-random-12.scen
120,182387,183161,181706,181690,16680,4.90947,5.58664,86033,5.9995,LNS(EECBS;PP),Berlin_1_256.map-scen-random/Berlin_1_256-random-12.scen
120,17733,17739,17728,17728,58836,4.17355,0.0695825,599.852,0.603953,LNS(EECBS;PP),Berlin_1_256.map-scen-random/Berlin_1_256-random-13.scen
120.001,35640,35670,35616,35616,57785,4.52021,0.320584,2876.59,1.20648,LNS(EECBS;PP),Berlin_1_256.map-scen-random/Berlin_1_256-random-13.scen
120,88771,88923,88629,88623,34434,4.77196,1.36031,17794.1,3.00494,LNS(EECBS;PP),Berlin_1_256.map-scen-random/Berlin_1_256-random-13.scen
120.001,143296,143717,142940,142930,21116,4.8413,3.17274,45431.3,4.79631,LNS(EECBS;PP),Berlin_1_256.map-scen-random/Berlin_1_256-random-13.scen
120,177468,178204,176825,176811,17094,4.9271,5.28305,81498.5,6.01605,LNS(EECBS;PP),Berlin_1_256.map-scen-random/Berlin_1_256-random-13.scen
120,18713,18723,18711,18711,91357,4.10743,0.0711774,240.128,0.603277,LNS(EECBS;PP),Berlin_1_256.map-scen-random/Berlin_1_256-random-14.scen
120,36486,36515,36465,36465,60742,4.37327,0.229775,2517.29,1.20788,LNS(EECBS;PP),Berlin_1_256.map-scen-random/Berlin_1_256-random-14.scen
120,90046,90216,89930,89927,29568,4.68157,1.29498,15047.1,3.06064,LNS(EECBS;PP),Berlin_1_256.map-scen-random/Berlin_1_256-random-14.scen
120.001,141966,142488,141597,141582,21666,4.86296,3.7477,47575.5,4.82635,LNS(EECBS;PP),Berlin_1_256.map-scen-random/Berlin_1_256-random-14.scen
120,179397,180265,178662,178635,14562,4.90605,6.2793,93666.6,5.99871,LNS(EECBS;PP),Berlin_1_256.map-scen-random/Berlin_1_256-random-14.scen
120,19277,19286,19260,19260,76129,4.37149,0.0810448,2043.03,0.603194,LNS(EECBS;PP),Berlin_1_256.map-scen-random/Berlin_1_256-random-15.scen
120.001,36829,36847,36794,36794,54337,4.48879,0.207177,4206.72,1.20494,LNS(EECBS;PP),Berlin_1_256.map-scen-random/Berlin_1_256-random-15.scen
120.001,90110,90255,89973,89971,31094,4.72312,1.33215,17119.9,2.99788,LNS(EECBS;PP),Berlin_1_256.map-scen-random/Berlin_1_256-random-15.scen
120.001,145788,146223,145360,145342,21905,4.9307,3.54532,54327.3,4.82289,LNS(EECBS;PP),Berlin_1_256.map-scen-random/Berlin_1_256-random-15.scen
120,184998,185833,184320,184296,15178,4.94294,5.4612,89172.5,6.02267,LNS(EECBS;PP),Berlin_1_256.map-scen-random/Berlin_1_256-random-15.scen
120.002,17017,17026,17013,17011,59471,4.19348,0.0862442,719.748,0.60415,LNS(EECBS;PP),Berlin_1_256.map-scen-random/Berlin_1_256-random-16.scen
120,34747,34766,34726,34724,62807,4.31874,0.283555,2755,1.20484,LNS(EECBS;PP),Berlin_1_256.map-scen-random/Berlin_1_256-random-16.scen
120,87102,87252,86990,86984,38378,4.57516,1.34061,14356.6,3.03334,LNS(EECBS;PP),Berlin_1_256.map-scen-random/Berlin_1_256-random-16.scen
120.006,143822,144231,143517,143511,22317,4.794,3.5075,38176.8,4.83129,LNS(EECBS;PP),Berlin_1_256.map-scen-random/Berlin_1_256-random-16.scen
120.002,180734,181448,180271,180263,19984,4.85052,5.4248,60164.2,6.03465,LNS(EECBS;PP),Berlin_1_256.map-scen-random/Berlin_1_256-random-16.scen
120,18194,18197,18188,18188,72838,4.10753,0.0853371,719.612,0.61647,LNS(EECBS;PP),Berlin_1_256.map-scen-random/Berlin_1_256-random-17.scen
120,35585,35605,35567,35567,68050,4.35292,0.240363,2158,1.19886,LNS(EECBS;PP),Berlin_1_256.map-scen-random/Berlin_1_256-random-17.scen
120,92028,92183,91888,91886,31662,4.69158,1.32435,17400.1,3.00427,LNS(EECBS;PP),Berlin_1_256.map-scen-random/Berlin_1_256-random-17.scen
120,151202,151649,150762,150752,19956,4.8672,3.55239,55513.3,4.83589,LNS(EECBS;PP),Berlin_1_256.map-scen-random/Berlin_1_256-random-17.scen
120.006,187429,188240,186763,186751,17064,4.91221,5.70139,84705.6,6.0177,LNS(EECBS;PP),Berlin_1_256.map-scen-random/Berlin_1_256-random-17.scen
120,19309,19314,19301,19301,74643,4.3384,0.0900943,1001.45,0.602574,LNS(EECBS;PP),Berlin_1_256.map-scen-random/Berlin_1_256-random-18.scen
120.005,36538,36560,36516,36516,54280,4.55506,0.286432,2669.88,1.21592,LNS(EECBS;PP),Berlin_1_256.map-scen-random/Berlin_1_256-random-18.scen
120,89814,89967,89697,89697,36880,4.74739,1.36048,14492.7,3.00767,LNS(EECBS;PP),Berlin_1_256.map-scen-random/Berlin_1_256-random-18.scen
120.001,144031,144507,143650,143646,22796,4.78824,3.58839,48673.5,4.8098,LNS(EECBS;PP),Berlin_1_256.map-scen-random/Berlin_1_256-random-18.scen
120.001,181613,182364,180990,180982,17703,4.86103,5.28454,77730.8,6.04835,LNS(EECBS;PP),Berlin_1_256.map-scen-random/Berlin_1_256-random-18.scen
120,18255,18258,18254,18254,110068,4.23308,0.0617893,194.861,0.599598,LNS(EECBS;PP),Berlin_1_256.map-scen-random/Berlin_1_256-random-19.scen
120,35062,35069,35055,35053,48674,4.24488,0.257522,1077.94,1.23709,LNS(EECBS;PP),Berlin_1_256.map-scen-random/Berlin_1_256-random-19.scen
120.001,88805,88951,88705,88701,31038,4.65196,1.23666,12683.3,2.98728,LNS(EECBS;PP),Berlin_1_256.map-scen-random/Berlin_1_256-random-19.scen
120.002,140414,140827,140118,140110,23845,4.75168,3.05304,37460.3,4.7889,LNS(EECBS;PP),Berlin_1_256.map-scen-random/Berlin_1_256-random-19.scen
120.001,177997,178745,177466,177449,17798,4.85975,4.86271,68350.7,5.99419,LNS(EECBS;PP),Berlin_1_256.map-scen-random/Berlin_1_256-random-19.scen
120.002,18694,18704,18685,18683,46180,4.29678,0.0896044,1324.13,0.613255,LNS(EECBS;PP),Berlin_1_256.map-scen-random/Berlin_1_256-random-20.scen
120.001,37676,37708,37653,37637,37759,4.32968,0.30831,4682.47,1.22034,LNS(EECBS;PP),Berlin_1_256.map-scen-random/Berlin_1_256-random-20.scen
120.006,93509,93688,93349,93325,20793,4.69142,1.70065,22815.7,3.00571,LNS(EECBS;PP),Berlin_1_256.map-scen-random/Berlin_1_256-random-20.scen
120.007,147795,148310,147380,147342,17869,4.83014,4.12748,55843.1,4.81208,LNS(EECBS;PP),Berlin_1_256.map-scen-random/Berlin_1_256-random-20.scen
152.794,-1,-1,185029,185029,1,-1,152.794,6.06781e+06,6.01344,LNS(EECBS;PP),Berlin_1_256.map-scen-random/Berlin_1_256-random-20.scen
120.001,18440,18448,18434,18434,74021,4.57613,0.0621659,720.266,0.599283,LNS(EECBS;PP),Berlin_1_256.map-scen-random/Berlin_1_256-random-21.scen
120,37151,37177,37119,37113,49902,4.13575,0.351018,4599.81,1.20395,LNS(EECBS;PP),Berlin_1_256.map-scen-random/Berlin_1_256-random-21.scen
120.004,92256,92434,92102,92094,25713,4.52796,1.55242,19971.4,2.99916,LNS(EECBS;PP),Berlin_1_256.map-scen-random/Berlin_1_256-random-21.scen
120.002,149084,149534,148380,148350,9628,4.83619,4.5365,90363.9,4.79755,LNS(EECBS;PP),Berlin_1_256.map-scen-random/Berlin_1_256-random-21.scen
120.004,185493,186162,184506,184472,9634,4.87927,6.65484,123524,5.99757,LNS(EECBS;PP),Berlin_1_256.map-scen-random/Berlin_1_256-random-21.scen
178.393,-1,-1,17945,17945,1,-1,178.393,1.04792e+06,0.646026,LNS(EECBS;PP),Berlin_1_256.map-scen-random/Berlin_1_256-random-22.scen
129.377,-1,-1,35920,35920,1,-1,129.377,336827,1.19802,LNS(EECBS;PP),Berlin_1_256.map-scen-random/Berlin_1_256-random-22.scen
266.213,-1,-1,89562,89562,1,-1,266.213,1.30953e+07,2.98297,LNS(EECBS;PP),Berlin_1_256.map-scen-random/Berlin_1_256-random-22.scen
413.584,-1,-1,143429,143429,1,-1,413.584,4.21087e+07,4.86699,LNS(EECBS;PP),Berlin_1_256.map-scen-random/Berlin_1_256-random-22.scen
483.679,-1,-1,179741,179741,1,-1,483.679,6.53683e+07,5.95298,LNS(EECBS;PP),Berlin_1_256.map-scen-random/Berlin_1_256-random-22.scen
120,18187,18191,18180,18180,83786,4.392,0.0813239,839.493,0.615564,LNS(EECBS;PP),Berlin_1_256.map-scen-random/Berlin_1_256-random-23.scen
120,37274,37294,37248,37242,50529,4.51277,0.283817,3895.95,1.19598,LNS(EECBS;PP),Berlin_1_256.map-scen-random/Berlin_1_256-random-23.scen
120.002,89786,89938,89644,89634,26949,4.64673,1.34853,18615.8,2.99608,LNS(EECBS;PP),Berlin_1_256.map-scen-random/Berlin_1_256-random-23.scen
120.002,144742,145166,144389,144371,22309,4.88251,3.60382,45665,4.83243,LNS(EECBS;PP),Berlin_1_256.map-scen-random/Berlin_1_256-random-23.scen
120.001,180832,181588,180286,180266,17720,4.91518,5.61753,70984.7,6.00488,LNS(EECBS;PP),Berlin_1_256.map-scen-random/Berlin_1_256-random-23.scen
120,18023,18025,18020,18020,109621,4.23372,0.0830896,359.794,0.600269,LNS(EECBS;PP),Berlin_1_256.map-scen-random/Berlin_1_256-random-24.scen
120,36434,36448,36410,36406,46664,4.42374,0.270655,3357.72,1.20438,LNS(EECBS;PP),Berlin_1_256.map-scen-random/Berlin_1_256-random-24.scen
120,88789,88934,88661,88651,34965,4.6505,1.35634,16822,3.04851,LNS(EECBS;PP),Berlin_1_256.map-scen-random/Berlin_1_256-random-24.scen
120.003,145199,145680,144806,144784,21024,4.80093,3.36607,51317.1,4.84238,LNS(EECBS;PP),Berlin_1_256.map-scen-random/Berlin_1_256-random-24.scen
120.005,179337,180254,178659,178629,13215,4.89102,5.74811,90919.4,6.01169,LNS(EECBS;PP),Berlin_1_256.map-scen-random/Berlin_1_256-random-24.scen
120,18160,18166,18154,18154,86392,4.22691,0.0788594,720.444,0.645302,LNS(EECBS;PP),Berlin_1_256.map-scen-random/Berlin_1_256-random-25.scen
120.001,34826,34848,34805,34801,49306,4.37935,0.240367,2996.31,1.19537,LNS(EECBS;PP),Berlin_1_256.map-scen-random/Berlin_1_256-random-25.scen
120,91338,91518,91215,91211,39715,4.80982,1.18875,15730.2,3.03288,LNS(EECBS;PP),Berlin_1_256.map-scen-random/Berlin_1_256-random-25.scen
120.001,146318,146786,145953,145947,25398,4.85538,3.21752,46815.3,4.79677,LNS(EECBS;PP),Berlin_1_256.map-scen-random/Berlin_1_256-random-25.scen
120.001,182097,182976,181532,181522,17108,4.86842,5.2832,74082.8,5.99346,LNS(EECBS;PP),Berlin_1_256.map-scen-random/Berlin_1_256-random-25.scen
