runtime,solution cost,initial solution cost,min f value,root g value,iterations,group size,runtime of initial solution,area under curve,preprocessing runtime,solver name,instance name
120,16730,16737,16727,16727,112312,3.98187,0.067423,359.934,0.649807,LNS(EECBS;PP),Berlin_1_256.map-scen-random/Berlin_1_256-random-1.scen
120,35310,35333,35295,35291,60417,4.39543,0.289131,2304.69,1.20484,LNS(EECBS;PP),Berlin_1_256.map-scen-random/Berlin_1_256-random-1.scen
120.004,88488,88642,88362,88354,39559,4.726,1.39769,16521.9,3.03425,LNS(EECBS;PP),Berlin_1_256.map-scen-random/Berlin_1_256-random-1.scen
120.006,142028,142472,141642,141624,21667,4.84441,3.40361,50679.4,4.87459,LNS(EECBS;PP),Berlin_1_256.map-scen-random/Berlin_1_256-random-1.scen
224.83,-1,-1,178564,178564,1,-1,224.83,1.8719e+07,6.05363,LNS(EECBS;PP),Berlin_1_256.map-scen-random/Berlin_1_256-random-1.scen
120,17975,17982,17970,17970,89978,4.04809,0.0601758,599.814,0.604226,LNS(EECBS;PP),Berlin_1_256.map-scen-random/Berlin_1_256-random-2.scen
120,36439,36467,36417,36413,50130,4.37926,0.269725,3132.75,1.20272,LNS(EECBS;PP),Berlin_1_256.map-scen-random/Berlin_1_256-random-2.scen
120,91203,91380,91061,91053,29782,4.83342,1.57024,18331.1,3.00814,LNS(EECBS;PP),Berlin_1_256.map-scen-random/Berlin_1_256-random-2.scen
120.001,144889,145439,144516,144502,20883,4.85471,3.81009,48272,4.82767,LNS(EECBS;PP),Berlin_1_256.map-scen-random/Berlin_1_256-random-2.scen
120.003,178990,179911,178399,178375,17883,4.92546,5.79578,77069.2,6.03512,LNS(EECBS;PP),Berlin_1_256.map-scen-random/Berlin_1_256-random-2.scen
120,17555,17560,17546,17546,87135,4.1939,0.0816722,1079.41,0.620344,LNS(EECBS;PP),Berlin_1_256.map-scen-random/Berlin_1_256-random-3.scen
120,35214,35242,35189,35189,57352,4.38824,0.301834,3001.26,1.21741,LNS(EECBS;PP),Berlin_1_256.map-scen-random/Berlin_1_256-random-3.scen
120,90325,90500,90160,90158,25762,4.82617,1.55834,20675.6,3.00694,LNS(EECBS;PP),Berlin_1_256.map-scen-random/Berlin_1_256-random-3.scen
120.001,145146,145583,144692,144680,16274,4.88625,3.76894,59049.5,4.83671,LNS(EECBS;PP),Berlin_1_256.map-scen-random/Berlin_1_256-random-3.scen
120.008,182043,182818,181327,181311,14277,4.93654,5.68582,92821.1,6.03402,LNS(EECBS;PP),Berlin_1_256.map-scen-random/Berlin_1_256-random-3.scen
120.005,18234,18239,18228,18228,52818,4.41877,0.0716485,719.702,0.661412,LNS(EECBS;PP),Berlin_1_256.map-scen-random/Berlin_1_256-random-4.scen
120,35585,35597,35571,35571,59072,4.3754,0.212186,1679.3,1.20636,LNS(EECBS;PP),Berlin_1_256.map-scen-random/Berlin_1_256-random-4.scen
120,88687,88816,88574,88572,33962,4.76838,1.06075,14148.4,3.00257,LNS(EECBS;PP),Berlin_1_256.map-scen-random/Berlin_1_256-random-4.scen
120,145376,145760,145053,145041,20251,4.86469,3.36589,40936.2,4.893,LNS(EECBS;PP),Berlin_1_256.map-scen-random/Berlin_1_256-random-4.scen
120.004,182317,183051,181817,181803,16934,4.91342,5.06498,65934.5,6.02676,LNS(EECBS;PP),Berlin_1_256.map-scen-random/Berlin_1_256-random-4.scen
120,19139,19142,19121,19119,42467,4.26772,0.105451,2398.64,0.63702,LNS(EECBS;PP),Berlin_1_256.map-scen-random/Berlin_1_256-random-5.scen
120,37335,37359,37296,37294,38885,4.57641,0.382697,4908.82,1.21734,LNS(EECBS;PP),Berlin_1_256.map-scen-random/Berlin_1_256-random-5.scen
120,90838,91013,90682,90674,29570,4.8145,1.48959,19824.6,3.00715,LNS(EECBS;PP),Berlin_1_256.map-scen-random/Berlin_1_256-random-5.scen
120,146901,147462,146478,146458,19988,4.89898,3.71466,54051.5,4.84176,LNS(EECBS;PP),Berlin_1_256.map-scen-random/Berlin_1_256-random-5.scen
