num of agents,sum of costs,weights,runtime,cost lowerbound,sum of distances,MAPF algorithm
6,36342,"",1.94055,35485,35485,PP
2,36340,"",1.94784,35485,35485,PP
5,36340,"",1.95665,35485,35485,PP
4,36339,"",1.96518,35485,35485,PP
6,36339,"",1.98897,35485,35485,PP
3,36339,"",1.9981,35485,35485,PP
2,36339,"",2.00235,35485,35485,PP
8,36339,"",2.0145,35485,35485,PP
3,36339,"",2.03052,35485,35485,PP
4,36339,"",2.04345,35485,35485,PP
4,36319,"",2.05015,35485,35485,PP
4,36319,"",2.06108,35485,35485,PP
2,36319,"",2.07015,35485,35485,PP
6,36319,"",2.09541,35485,35485,PP
4,36319,"",2.10567,35485,35485,PP
6,36319,"",2.11539,35485,35485,PP
5,36319,"",2.12579,35485,35485,PP
2,36319,"",2.13828,35485,35485,PP
4,36319,"",2.14493,35485,35485,PP
6,36319,"",2.15743,35485,35485,PP
7,36319,"",2.17695,35485,35485,PP
8,36251,"",2.19068,35485,35485,PP
4,36251,"",2.19884,35485,35485,PP
2,36251,"",2.20649,35485,35485,PP
4,36251,"",2.22318,35485,35485,PP
3,36251,"",2.23386,35485,35485,PP
6,36251,"",2.2465,35485,35485,PP
2,36229,"",2.25165,35485,35485,PP
6,36229,"",2.26118,35485,35485,PP
3,36229,"",2.26989,35485,35485,PP
8,36228,"",2.29221,35485,35485,PP
3,36228,"",2.30233,35485,35485,PP
3,36228,"",2.31192,35485,35485,PP
3,36228,"",2.32146,35485,35485,PP
3,36228,"",2.33552,35485,35485,PP
3,36228,"",2.34442,35485,35485,PP
6,36228,"",2.35383,35485,35485,PP
2,36228,"",2.35751,35485,35485,PP
6,36228,"",2.36845,35485,35485,PP
4,36214,"",2.37533,35485,35485,PP
6,36214,"",2.38769,35485,35485,PP
7,36214,"",2.40131,35485,35485,PP
4,36214,"",2.41436,35485,35485,PP
5,36214,"",2.42927,35485,35485,PP
5,36214,"",2.45216,35485,35485,PP
6,36214,"",2.4666,35485,35485,PP
3,36214,"",2.47593,35485,35485,PP
7,36214,"",2.48876,35485,35485,PP
3,36214,"",2.49561,35485,35485,PP
6,36202,"",2.50487,35485,35485,PP
3,36202,"",2.51039,35485,35485,PP
8,36202,"",2.52904,35485,35485,PP
5,36202,"",2.53711,35485,35485,PP
4,36202,"",2.5449,35485,35485,PP
8,36202,"",2.56453,35485,35485,PP
4,36202,"",2.58248,35485,35485,PP
8,36202,"",2.60597,35485,35485,PP
7,36202,"",2.61997,35485,35485,PP
4,36202,"",2.62786,35485,35485,PP
